GPA,FamilyIncome,Sleep,District,StudyTime,Grade
2.7,79959,7.4,6,40,84
2.7,87029,4.9,5,32,55
1.6,94761,6.1,4,38,55
2.5,59399,6.2,5,53,82
2.9,69367,4.8,4,64,87
3.7,81262,5.2,5,38,71
2,90749,6.5,4,7,28
4,69244,8.4,7,25,93
1.3,93004,6.8,4,45,65
2.1,72317,5.4,5,54,77
3.2,54360,6.7,4,25,57
2.3,83435,5.9,7,51,85
3.7,66637,5.6,5,27,64
2.5,79063,5.8,5,54,81
2.1,48857,5.4,4,36,55
2.1,101523,5.4,8,46,81
3.4,81573,5.9,5,33,69
3.2,80370,6.7,4,28,65
2.6,84748,6.3,5,46,81
3,104426,5.1,4,41,64
3.4,59921,5.3,6,58,97
3.9,61857,5.1,5,37,70
3.8,53405,7,5,42,92
3.2,71853,5.9,6,46,84
2.9,102745,5.5,7,30,67
3.4,99159,5.8,5,51,88
3.2,66018,5.2,4,35,59
2.7,73444,4.9,5,37,55
0.9,65029,3.8,7,46,53
1,93650,6.3,5,43,61
3.6,77677,5.9,5,45,82
2.8,81467,7,5,37,73
2.9,76734,6.8,7,40,89
3.4,99228,6.6,5,36,78
3.8,90399,4.8,4,34,61
2.8,93804,5.6,3,43,62
3.3,84984,5.3,3,45,68
3.7,69229,4.7,6,44,80
0.9,67658,8.2,4,37,62
2,85581,6.5,6,46,78
1.6,68990,5.3,5,45,61
2.5,77914,6.3,6,29,64
3.5,54625,6.3,4,43,79
3.7,64650,5,5,39,73
2.2,48862,6.7,6,51,90
2.7,71302,5.8,7,42,80
3.5,56640,5.4,6,31,70
1.8,79224,5.8,5,51,70
2.2,74834,6.7,6,34,69
1.2,88701,5.9,4,55,69
2.7,65185,7.7,4,49,88
2.3,63166,6.2,6,43,76
2.7,68487,6.4,6,39,76
3,60518,6.6,5,42,82
3.5,97875,6.8,5,39,82
3.8,93000,6.4,6,45,94
3.8,69533,6.4,3,55,91
3.7,63687,6.3,5,43,89
3.5,63315,6.8,6,36,84
3.5,68883,4.9,6,19,56
2.9,81502,5.6,5,50,78
2.2,87307,5.7,5,38,61
3.3,59975,4.6,5,62,92
2.6,87681,3.7,5,59,76
3.4,79239,4.6,6,29,61
3.1,103624,7,5,42,84
3,83711,5.7,7,26,67
2.6,72190,6,3,50,68
2.6,76844,5.8,3,25,45
2.8,65723,6.4,5,33,68
3.6,92351,5.6,6,45,87
3.4,73456,5.8,6,28,65
3.5,90666,8.3,3,45,95
1.8,84129,7.4,4,33,60
3.4,79803,5.7,3,43,71
2.5,79359,5,5,37,58
3.5,105832,4.4,5,42,71
2.8,80330,4.6,5,37,57
3.3,45800,5.1,5,42,70
3.2,71622,4.4,5,44,69
1.8,72399,5.5,6,45,69
3.4,67859,6.9,5,48,93
1.6,70346,6.2,5,34,58
1.3,75322,7.4,6,39,71
3.3,51469,5.1,3,45,67
3.1,81148,6.1,5,29,64
3.1,67534,7,5,32,72
3.4,75821,4.9,5,46,76
2.9,61366,7.7,4,31,71
4,74294,5.3,5,33,69
3.3,96768,7.6,5,34,81
2.2,74258,4.8,5,45,64
2.7,58550,7.3,5,52,91
3,86801,6.9,6,43,89
2.5,59513,5.4,5,36,60
2,77142,6.1,4,47,67
3.7,86488,6,5,29,69
3.8,54606,6.2,5,34,75
3,57274,5.2,5,22,49
1.7,82209,3.5,5,43,46
2.8,61856,5,5,36,58
3.9,69566,5.9,4,47,82
2.9,77738,6.7,5,40,76
2.6,61731,6.7,6,31,68
1.7,61494,6.9,7,33,67
3.5,51144,4.9,6,42,75
3.2,70065,4.7,4,41,60
3.3,71886,6.2,5,32,70
2.4,83055,4.7,6,39,60
3.9,80530,5.2,4,41,74
2.8,91660,6.7,3,47,74
2.6,87375,5.5,4,30,54
2.8,80782,5.9,5,33,63
3,60874,5.6,4,46,72
3.8,67160,7,5,38,84
3.2,82077,6.4,6,35,79
3,65404,6.2,6,42,79
2.1,102426,4.6,5,47,64
1.9,71163,5.7,4,36,54
3.2,39384,6.1,6,37,75
2.2,71278,3.9,4,43,50
1.7,79054,6.9,5,48,75
1.4,123178,7.5,5,45,72
2.2,74712,5.1,5,41,59
0.2,39868,5.9,5,35,42
1.4,92115,5.4,4,50,61
2.5,79374,5.5,6,43,73
1.8,61859,6.1,4,45,63
3.7,93514,4.3,5,13,38
3.8,93932,7.3,4,44,91
2.8,61174,6.3,5,38,71
1.6,72698,4.8,4,38,46
3.4,79067,7,6,38,87
3.8,75953,6.9,5,38,87
2.6,80090,6.5,5,20,55
1.7,56402,5.9,5,36,57
2.8,53443,5.1,5,30,54
1.5,56947,6.4,5,48,69
3.4,87929,6.7,5,41,81
4,58879,6.3,5,46,91
1.7,57092,4.7,6,51,66
3.3,116052,7.2,4,26,65
2.6,55705,6.7,5,47,82
3.4,78658,4.3,5,36,61
2.1,52005,6.4,5,30,55
1.5,86780,6.7,5,29,52
1.5,94595,5.8,4,38,53
2.8,84498,6.2,4,53,84
1.2,105550,5.4,4,50,57
2,109595,6.3,5,26,53
2.5,62641,6.3,4,37,63
3.7,50319,7.7,4,23,71
3.8,65501,8.2,5,35,93
3.6,70078,7.3,5,42,92
2.9,73129,6.6,6,49,88
2.6,99654,6.5,5,23,55
2.3,36788,7.1,5,47,80
2.9,91780,7.9,4,28,68
2.7,59561,4.2,4,29,42
2,75408,7.2,5,29,59
3.1,79890,5.5,4,45,71
3.2,53890,4.6,4,36,56
1.1,27952,5.6,3,46,47
3.1,54222,4.8,4,39,59
3.3,72640,4.1,6,46,72
3.3,50824,5.4,6,29,64
3.8,71234,6.5,4,35,77
2.3,50994,6.3,4,32,54
3.4,83681,6.3,4,39,75
3.4,91881,5.2,6,38,75
3,87360,5.7,3,29,53
1.8,68395,8.1,5,24,58
3.6,94880,6,4,50,86
3.1,58689,5.7,4,39,65
1.6,87027,4.3,3,36,36
3.6,65918,6.5,5,48,93
3.1,55266,6.5,4,39,72
3.7,110284,5.2,4,45,75
2.8,54563,4.8,4,35,53
3,64725,6.2,4,44,75
3.8,72402,5.4,7,41,86
1.3,85124,4.9,3,50,52
2.6,67616,6.3,6,52,89
3.6,66585,6.2,3,24,55
3.9,67652,6.4,5,30,75
3.7,89336,5.6,6,37,78
3.9,84546,5.3,5,46,82
3.5,44770,4.5,7,26,59
1.6,45083,4.4,5,41,52
2,92855,5.5,6,48,76
2.6,90140,5.5,4,48,72
2.9,82879,6,5,40,73
2.3,88757,6.3,5,25,53
2.2,68200,6.4,6,32,64
4,78158,4.7,5,41,76
3.3,80885,6.5,5,32,74
1.4,77380,5.5,6,34,52
3.4,75905,5.1,6,42,80
3.6,92649,6.1,3,41,73
3,71367,5.9,5,36,70
3,63087,7.7,4,46,87
3.4,91227,5.6,6,43,81
2.8,65224,5.6,5,32,61
2.1,70630,6.4,5,38,68
2.7,57682,7.6,6,48,94
2.3,72192,4.9,7,53,81
3.5,58826,7,3,36,74
3.3,73082,6.9,5,49,94
2.6,53172,5.4,4,39,61
3.4,84333,5.7,4,46,74
3.4,54582,5.3,6,31,66
3.3,83642,6.3,4,51,85
2.2,60521,5.7,5,44,67
1.4,77416,6.5,7,51,81
3.9,58513,6.6,6,39,90
2.3,77212,5.2,6,49,77
3.4,93168,8,4,28,73
2.9,69588,7.3,5,36,78
3.1,48321,7.3,4,43,83
2.3,95157,7.2,4,43,71
2.6,62197,5.7,5,14,42
3.2,63746,5.3,7,38,76
2,56830,6.3,4,38,59
3.1,74310,6.8,4,42,76
0.5,69423,6.4,3,30,32
2.4,87248,7.8,5,58,100
2.8,67944,5.9,5,67,100
3.5,98878,4.1,6,28,57
2.8,67700,6,6,39,75
3.7,84822,6.5,4,59,98
3.7,112946,5.6,5,43,78
3.6,87368,5.5,4,41,73
3.7,80875,6.8,5,37,82
1.8,76660,6.9,6,40,76
3.9,84296,5.3,4,46,77
3.2,66341,8.2,5,26,75
2.4,63700,6.3,6,38,74
3.9,66561,5.4,4,53,87
2.7,86605,7.6,6,34,77
3.4,70439,4.9,5,52,84
2.8,57440,6.1,6,27,64
3,76901,5.7,5,40,71
3.1,81212,5.9,5,38,73
3.4,82761,5.6,5,46,82
3.6,63901,6.6,4,51,91
2.9,88432,6.8,5,30,64
3.1,80780,5,5,32,59
3.9,76880,5,4,38,69
2.8,78395,5.8,5,22,51
2.5,56256,7,6,29,67
3.4,54492,3.9,5,39,62
3.4,68976,6.3,3,38,69
3.7,68216,5.6,3,28,57
2.5,63794,6.5,6,38,77
3.4,81420,5.4,5,40,74
2.8,73076,6.6,5,44,82
3.4,65060,5.4,6,32,70
3.1,62107,5.9,6,24,63
4,71516,5.3,6,33,75
2.3,81773,4.5,7,48,73
2.2,65675,5.2,6,26,48
3.7,85461,5.6,7,50,96
1.7,114273,5.2,8,39,65
2.5,56149,6.7,6,35,72
1.3,91500,7.2,6,46,79
3.1,57330,6.8,5,43,82
2.2,79761,5.7,5,42,67
1.6,88375,4.6,5,49,62
2.4,76044,6.3,5,48,78
2.7,71748,5.8,4,56,83
2.1,66811,6.2,5,31,57
2.4,69232,6.7,5,46,80
2.6,50934,6.9,5,27,62
2.8,56152,5.2,3,43,60
3.6,90100,6.3,5,33,71
1.4,83848,4.5,3,36,32
2.9,73958,5.6,5,31,60
2.9,72047,6.7,6,50,91
0.6,71143,5.4,4,35,37
2.3,75319,4.7,6,15,36
2.2,83727,5.5,5,63,90
2.6,95805,6.4,4,43,73
2.6,92745,6.4,5,34,65
2.7,61393,7,6,55,96
2,56658,5.4,4,52,66
3.4,72937,6.1,4,33,68
3.4,77798,5.8,5,63,98
2.9,71538,5.4,6,51,83
2.3,86181,6.7,6,45,82
3.4,52053,6,4,42,74
1.3,29858,4.5,4,43,46
1.5,68590,7.6,6,36,71
2.8,74443,5.4,5,39,66
4,94117,6.3,6,31,78
2.4,75988,6.7,3,19,42
1.3,72634,5.6,6,38,54
1.3,72328,6.3,4,37,52
2.8,66663,6.7,4,33,64
2.3,65819,4.9,4,23,38
3.8,65533,6.4,4,39,79
2.4,70568,4.3,3,42,49
3.6,90217,6.9,5,31,75
3.8,103454,5.1,4,42,72
3.9,76107,7.2,3,45,89
2.5,73909,6.4,5,27,57
2.8,75795,6.7,7,39,85
3,79406,6.5,6,49,90
3.3,74898,4.5,5,41,66
3.1,61008,5.7,6,29,63
4,84733,6.3,6,46,95
2.4,83935,4.8,3,34,45
2.3,97902,5.7,5,38,63
2.4,76694,7.3,4,27,56
2.8,65515,6.6,4,66,100
1.2,108101,5.7,6,55,76
2.7,80148,4.9,5,19,38
3.2,73280,6.1,5,29,65
2.1,55873,5.9,6,37,62
2.3,61980,6.1,5,22,49
2.4,92073,7,6,49,89
3.1,68026,5.9,6,34,72
3.7,87245,6.6,4,32,71
1.9,73372,6.7,6,29,62
3.3,61826,6.8,6,36,81
2.2,87463,6,6,41,72
1.6,66735,7.3,4,43,68
3.5,67178,6.1,5,52,94
3.5,62482,4.4,3,48,68
3.3,44395,6,5,36,70
2.1,56673,5.4,6,46,74
0.6,74413,4.6,5,48,51
3.1,71478,3.3,5,52,68
1.7,43052,6.3,4,56,74
3.7,49548,5.9,6,25,66
2.8,91152,6.3,4,40,69
3.3,75636,4.4,5,38,62
4,66282,7,5,48,99
2.3,94434,6.8,5,46,78
3.2,70789,5.2,4,37,61
1.4,60425,4.6,5,36,46
3.4,77959,5.7,6,38,79
2.4,65313,5.7,6,67,100
0.5,99880,7.5,5,18,39
2.6,105823,8.6,6,16,67
2.8,67838,7.2,5,48,88
1.2,86843,6.3,4,33,48
3.7,93210,5.8,6,22,67
2.4,90004,5.4,6,33,61
3.8,103977,4.7,3,30,50
3.5,102705,5.4,5,34,66
3.9,70176,5.5,5,45,82
2.6,54436,6.6,4,26,54
3.4,63827,6.8,6,28,77
2.6,92631,5.7,5,40,66
2.4,75456,6.9,7,54,97
2.7,74915,6.2,6,40,75
3.1,65735,3.2,4,44,54
1.9,59113,6.1,5,46,69
2.5,97356,5.7,6,38,71
1.2,85134,6.8,3,25,39
2.7,75350,6.4,5,37,69
0.8,71283,6,5,39,51
2.8,82047,4.8,5,42,69
2,92481,6.4,6,40,73
3.6,84779,5.8,5,46,84
3,85492,7.2,6,27,72
3.4,77389,5.3,5,38,71
2.1,67048,6.3,4,25,48
3.2,70525,4.6,4,35,56
2.8,68163,6,5,33,66
4,49739,5.2,1,42,61
2.2,75842,5.9,4,38,59
2.3,75440,5.9,6,35,63
0.6,65494,6.1,4,41,46
2.8,92806,8.3,6,33,84
3,84336,7.6,5,27,69
4,73951,7,6,34,91
3.3,75332,6.4,6,37,81
2.3,100790,5.4,7,43,74
1.2,58324,7.3,6,41,70
3.3,59384,6.1,6,32,74
3.3,64246,5.1,3,18,34
3.2,72768,6.9,4,21,59
3.1,51699,5,5,46,75
2.9,108745,6.4,3,26,53
2.9,71573,6.7,5,30,65
3.4,86176,4.9,3,31,48
1.5,49238,4.9,5,37,48
3,89139,7,5,25,65
3.6,62785,7.7,3,48,91
2.5,87399,6.9,6,23,59
1.6,59392,6,6,43,70
2.1,45198,6.6,6,29,64
1.7,79739,5.4,6,54,75
2.6,53098,5.8,4,37,62
2.4,47329,7.1,5,54,91
3.6,74976,6.1,6,41,86
3.4,101776,7.6,5,39,86
3.2,98234,6.4,6,50,96
3.1,77920,4.3,4,32,48
